year,location,sector_code,sector,carbon_monoxide,carbon_dioxide,methane,nitrous_oxide,nitrogen_oxides,non-methane_volatile_organic_compounds,hfc-23,hfc-32,hfc-41,hfc-43-10mee,hfc-125,hfc-134,hfc-134a,hfc-143,hfc-143a,hfc-152a,hfc-227ea,hfc-236fa,hfc-245ca,unspecified_mix_of_hfcs,cf4,c2f6,c3f8,c4f10,c-c4f8,c5f12,c6f14,sulphur_hexafluoride,sulphur_dioxide,hfc-245fa,hfc-365mfc,black_carbon,pm_2.5,pm_10,carbon_dioxide_equivalent_-_ar5,other_-_ar5,hydrofluorocarbons_-_ar5,perfluorocarbons_-_ar5,carbon_dioxide_-_ar5,methane_-_ar5,nitrous_oxide_-_ar5,sulphur_hexafluoride_-_ar5,carbon_dioxide_equivalent_confidential_-_ar5,hfc-23_-_ar5,hfc-32_-_ar5,hfc-41_-_ar5,hfc-43-10mee_-_ar5,hfc-125_-_ar5,hfc-134_-_ar5,hfc-134a_-_ar5,hfc-143_-_ar5,hfc-143a_-_ar5,hfc-152a_-_ar5,hfc-227ea_-_ar5,hfc-236fa_-_ar5,hfc-245ca_-_ar5,unspecified_mix_of_hfcs_-_ar5,cf4_-_ar5,c2f6_-_ar5,c3f8_-_ar5,c4f10_-_ar5,c-c4f8_-_ar5,c5f12_-_ar5,c6f14_-_ar5,other_perfluorocarbons_-_ar5,hfc-245fa_-_ar5,hfc-365mfc_-_ar5
1990,Australia,1,Energy,5262.88,258948.77,1279.21,6.58,1555.26,798.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,560.38,NA,NA,NA,NA,NA,296511.06,NA,NA,NA,258948.77,35817.98,1744.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990,Australia,2,Industrial Processes,10.24,18551.26,3.26,3.41,38.27,218.49,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.51,0.07,NA,NA,NA,NA,NA,0.01,1024.88,NA,NA,NA,NA,NA,25111.84,5564.52,1193.65,4143.53,18551.26,91.41,904.66,227.33,NA,1193.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3403.51,740.02,NA,NA,NA,NA,NA,NA,NA,NA
1990,Australia,3,Agriculture,455.45,582.01,2862.06,42.68,26.93,26.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92030.75,NA,NA,NA,582.01,80137.55,11311.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990,Australia,5,Waste,NA,73.36,785.62,1.05,NA,343.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22348.28,NA,NA,NA,73.36,21997.26,277.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990,Australia,7,Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1991,Australia,1,Energy,5288.16,260932.27,1266.41,6.7,1531.98,790.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,559.78,NA,NA,NA,NA,NA,298166.91,NA,NA,NA,260932.27,35459.56,1775.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1991,Australia,2,Industrial Processes,9.91,17889.27,3,2.83,37.12,209.24,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.51,0.07,NA,NA,NA,NA,NA,0.01,1010.26,NA,NA,NA,NA,NA,24311.72,5587.23,1193.65,4146.89,17889.27,84.1,751.12,246.69,NA,1193.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3406.26,740.62,NA,NA,NA,NA,NA,NA,NA,NA
1991,Australia,3,Agriculture,449.09,634.9,2838.98,41.77,26.59,26.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91194.36,NA,NA,NA,634.9,79491.37,11068.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1991,Australia,5,Waste,NA,73.5,784.4,1.08,NA,346.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22322.44,NA,NA,NA,73.5,21963.11,285.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1991,Australia,7,Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
